2458090.62349	479	2	289	1
2458091.60310	469	2	191	1
2458091.62832	473	1	190	1
2458091.63624	462	1	191	1
2458100.62637	476	1	8	1
2458100.65069	480	1	7	1
2458100.65676	473	2	7	1
2458147.64806	543	1	338	1
2458156.61001	585	2	162	1
2458177.44177	654	2	238	1
2458177.52959	636	3	228	1
2458177.57168	652	2	223	1
2458180.47423	706	2	295	1
2458180.53804	665	5	290	1
2458180.54302	628	5	286	1
2458180.59594	675	2	281	1
2458183.57010	689	3	342	1
2458210.31971	663	5	184	1
2458214.41011	670	5	133	1
2458215.37401	660	5	37	1
2458216.42677	683	5	293	1
2458217.25499	662	5	212	1
2458218.28200	692	5	106	1
2458233.26260	673	5	48	1
2458234.34748	666	5	298	1
2458238.32053	656	6	261	1
2458255.30038	618	5	1	1
2458264.28622	577	5	181	1
